industry_type,region,country,year,co2_emissions_metrictons,energy_consumption_twh,automobile_co2_emissions_metrictons,industrial_co2_emissions_metrictons,agriculture_co2_emissions_metrictons,domestic_co2_emissions_metrictons,population_millions,gdp_billion_usd,urbanization_percentage,renewable_energy_percentage,industrial_growth_percentage,transport_growth_percentage,co2_emissions_per_capita,energy_consumption_per_capita,renewable_energy_contribution
Mining,South America,Germany,2014,37.14,603.16,56.11,76.42,40.59,12.09,485.69,10306.64,76.89,88.32,1.91,-2.32,0.07646852930881838,1.2418620931046551,532.710912
Energy,South America,India,2014,46.29,493.55,16.1,193.97,49.48,4.71,1013.99,21959.05,99.78,47.22,-2.26,-1.11,0.04565133778439629,0.48674050039941225,233.05431000000002
Manufacturing,South America,India,2014,272.53,717.73,31.58,198.12,9.57,5.15,37.19,6274.08,77.7,17.16,-8.38,-3.38,7.328045173433718,19.299005108900243,123.162468
Mining,South America,India,2014,121.86,671.03,63.13,47.46,22.47,5.49,883.31,21974.6,91.98,7.17,-7.11,8.5,0.13795836116425716,0.7596766707045092,48.112851
Mining,South America,India,2014,290.96,755.51,14.53,36.14,40.71,13.86,604.53,20609.32,77.63,74.93,10.54,1.64,0.4812995219426662,1.2497477379120971,566.103643
Manufacturing,South America,India,2014,40.81,804.01,16.32,57.42,38.18,5.07,1460.56,21051.32,50.59,14.24,2.64,0.39,0.02794133756915156,0.5504806375636743,114.491024
Construction,South America,India,2014,203.12,278.17,58.73,8.06,28.66,1.34,1332.98,2813.63,47.3,91.47,-3.22,0.08,0.15238038080091224,0.2086828009422497,254.442099
Mining,South America,India,2014,282.98,712.11,54.5,54.75,14.7,16.07,1481.88,20960.88,25.6,63.97,1.05,-1.12,0.19096013172456608,0.4805449833994655,455.53676700000005
Manufacturing,South America,India,2014,164.09,156.4,18.01,111.31,44.24,14.02,1185.71,8234.2,65.08,14.04,-4.02,6.26,0.13838965683008492,0.1319040912196068,21.95856
Energy,South America,India,2014,82.78,30.19,66.36,85.36,19.94,14.26,1024.39,13515.67,27.33,51.77,-2.5,9.97,0.08080906685930163,0.029471197493142257,15.629363000000001
Construction,South America,India,2014,297.83,369.19,27.2,126.71,4.44,7.76,521.7,19300.24,95.57,86.66,2.81,7.87,0.5708836496070537,0.7076672417097948,319.940054
Energy,South America,India,2014,48.63,93.07,63.0,167.36,3.7,10.27,780.77,13058.64,25.36,56.15,11.05,-3.47,0.06228466769983478,0.1192028382238047,52.258804999999995
Manufacturing,South America,India,2014,199.15,559.63,92.89,169.73,32.71,19.41,608.6,19817.12,58.21,11.59,1.27,-2.7,0.3272264212947749,0.9195366414722314,64.861117
Construction,South America,India,2014,283.84,334.53,27.57,106.61,40.01,14.05,384.26,11107.55,92.27,15.96,9.91,-4.6,0.7386665278717535,0.8705824181543745,53.390988
Construction,South America,India,2014,252.92,284.44,68.36,129.55,33.22,3.4,698.37,14192.97,36.04,26.76,-4.11,1.21,0.36215759554390936,0.407291263943182,76.116144
Construction,South America,India,2014,128.02,295.36,55.99,62.88,2.17,5.47,825.74,17368.29,77.85,83.79,5.19,-4.81,0.15503669435899922,0.3576912829704265,247.48214400000003
Mining,South America,India,2014,170.25,45.83,21.4,0.72,36.22,15.5,776.2,13958.89,39.25,62.4,14.62,0.94,0.219337799536202,0.05904406080906982,28.59792
Manufacturing,South America,India,2014,185.03,314.85,63.81,61.63,41.79,16.87,788.65,4614.03,70.05,15.67,2.13,-3.52,0.2346161161478476,0.399226526342484,49.33699500000001
Construction,South America,India,2014,182.27,897.38,53.33,73.74,37.24,10.03,567.25,13079.09,26.96,16.89,8.45,-3.99,0.32132216835610405,1.581983252534156,151.567482
Manufacturing,South America,South Africa,2014,127.89,398.68,78.68,190.74,28.23,16.87,115.74,8656.92,84.99,9.31,-4.61,-1.95,1.1049766718507,3.4446172455503716,37.117108
Manufacturing,South America,South Africa,2014,186.45,183.62,53.86,0.86,46.34,9.37,973.1,4842.62,31.88,11.38,10.55,1.66,0.1916041516801973,0.18869592025485563,20.895956
Mining,South America,South Africa,2014,294.12,978.32,8.86,168.22,10.52,6.06,969.31,11779.18,36.35,22.02,-6.49,-1.51,0.30343233846756973,1.0092952718944406,215.426064
Construction,South America,South Africa,2014,134.83,821.31,60.09,190.69,35.0,16.92,666.17,4165.38,29.32,28.96,12.33,-4.85,0.2023957848597205,1.2328834982061636,237.851376
Construction,South America,South Africa,2014,166.67,561.46,65.64,17.51,26.33,9.2,452.18,4890.9,67.72,26.09,6.23,2.07,0.36859215356716346,1.2416736697775224,146.484914
Manufacturing,South America,South Africa,2014,128.29,928.16,29.9,150.42,45.51,5.61,1123.05,23441.55,43.78,58.66,1.73,4.94,0.11423356039357108,0.8264636481011531,544.458656
Manufacturing,South America,South Africa,2014,230.51,770.93,73.58,161.5,12.24,5.61,508.08,15550.13,38.48,25.58,6.88,2.68,0.4536883955282633,1.5173397890096048,197.20389399999996
Manufacturing,South America,South Africa,2014,32.85,826.12,63.33,1.73,9.12,14.83,590.8,304.01,80.1,26.59,12.36,0.63,0.05560257278266758,1.3983073798239676,219.665308
Mining,South America,South Africa,2014,23.9,403.7,18.18,162.96,41.69,4.1,308.91,2654.65,46.62,54.94,6.17,8.88,0.07736881292285779,1.3068531287429994,221.79278
Manufacturing,South America,South Africa,2014,51.59,32.31,23.49,27.65,37.45,7.71,333.15,11409.17,93.6,75.46,8.15,5.85,0.15485517034368906,0.09698334083746062,24.381126
Construction,South America,South Africa,2014,91.15,677.52,99.33,92.23,39.66,12.8,941.18,8600.82,84.46,45.79,0.68,3.74,0.09684651182558067,0.7198623005163731,310.236408
Mining,South America,South Africa,2014,209.57,147.32,72.4,47.85,37.25,13.54,1471.05,21883.89,24.54,48.68,4.02,2.57,0.1424628666598688,0.10014615410761021,71.71537599999999
Mining,South America,South Africa,2014,157.63,902.59,14.11,6.77,26.28,2.16,765.11,23792.93,30.33,49.34,8.61,2.91,0.20602266340787598,1.1796865810144948,445.3379060000001
Energy,South America,South Africa,2014,67.21,72.61,41.79,145.54,33.68,12.55,410.91,13250.0,74.16,37.94,-7.93,0.83,0.16356379742522692,0.1767053612713246,27.548233999999997
Energy,South America,South Africa,2014,139.36,107.17,18.11,7.37,20.34,1.22,1085.19,12914.87,31.17,13.48,11.09,9.42,0.12841990803453773,0.09875689971341424,14.446516
Construction,South America,South Africa,2014,114.44,248.26,26.41,9.72,46.49,16.55,647.56,909.51,63.01,97.45,-3.85,6.74,0.17672493668540368,0.3833776020754834,241.92936999999998
Construction,South America,South Africa,2014,159.28,602.59,56.78,150.95,48.99,8.75,177.17,22752.02,26.41,74.16,12.31,-2.17,0.8990235367161484,3.4011965908449517,446.880744
Manufacturing,South America,South Africa,2014,184.21,240.37,77.12,197.85,20.78,12.84,554.95,23797.08,69.38,98.07,6.22,-0.67,0.3319398143976935,0.433138120551401,235.73085899999998
Construction,South America,South Africa,2014,127.03,362.69,79.09,167.68,29.22,11.28,13.04,18883.25,93.71,53.87,-5.79,4.93,9.741564417177916,27.813650306748468,195.381103
Manufacturing,South America,South Africa,2014,10.13,296.19,4.33,186.22,1.19,18.07,1075.05,1908.01,25.7,80.63,-3.36,-3.2,0.009422817543370076,0.2755127668480536,238.817997
Manufacturing,South America,Usa,2014,143.68,451.59,70.94,21.75,37.55,9.04,804.92,6548.58,69.64,10.67,-6.46,0.21,0.1785022113998907,0.5610371217015355,48.184653
Energy,South America,Usa,2014,171.24,428.59,94.91,14.03,44.54,12.29,408.8,3591.96,66.74,58.46,1.87,1.92,0.4188845401174168,1.0484099804305282,250.553714
Mining,South America,Usa,2014,282.75,916.98,36.51,108.12,33.13,17.89,409.73,18045.01,43.62,6.47,-8.59,-1.01,0.6900885949283674,2.238010397090767,59.328606
Energy,South America,Usa,2014,236.06,697.47,52.9,112.95,7.94,19.77,1137.63,2512.28,45.08,34.12,-8.49,4.46,0.20750156026124486,0.6130903720893436,237.976764
Energy,South America,Usa,2014,6.39,149.91,24.29,169.3,25.96,13.84,245.0,22562.35,97.03,28.8,13.22,-3.96,0.026081632653061224,0.6118775510204082,43.174080000000004
Manufacturing,South America,Usa,2014,228.64,842.59,34.19,0.89,11.11,11.08,1346.74,6786.08,62.15,87.03,-5.66,1.93,0.1697729331571053,0.6256515734291698,733.3060770000001
Construction,South America,Usa,2014,243.29,665.37,98.02,83.56,20.06,2.14,231.98,20340.97,35.85,99.1,13.57,-3.9,1.0487542029485302,2.8682213983964138,659.38167
Construction,South America,Usa,2014,107.84,30.16,92.92,10.09,30.77,19.98,327.35,9609.97,92.45,7.22,-0.73,4.41,0.3294333282419429,0.09213380174125553,2.177552
Mining,South America,Usa,2014,157.16,756.96,75.74,93.84,38.9,16.41,52.35,2965.1,95.16,64.72,-2.86,2.9,3.0021012416427886,14.459598853868195,489.904512
Construction,South America,Usa,2014,41.33,677.8,94.38,195.64,11.68,16.84,176.03,17101.51,86.43,64.77,-2.74,0.5,0.2347895245128671,3.8504800318127588,439.01105999999993
Manufacturing,South America,Usa,2014,295.98,751.21,9.37,16.73,23.67,15.7,199.4,5524.77,39.53,57.4,11.9,6.42,1.4843530591775327,3.7673520561685057,431.19453999999996
Energy,South America,Usa,2014,14.6,970.99,85.97,18.31,40.95,3.52,699.26,17933.04,62.75,1.88,-9.8,-2.8,0.02087921517032291,1.3885965163172498,18.254611999999998
Construction,South America,Usa,2014,273.29,448.58,92.75,119.9,34.46,2.46,453.67,20193.54,82.15,12.88,-7.74,-4.37,0.6023982189697358,0.9887803910331298,57.777104
Manufacturing,South America,Usa,2014,35.22,860.73,66.58,183.71,16.5,18.04,1096.37,5088.08,35.36,41.26,-4.39,7.13,0.032124191650628894,0.7850725576219708,355.137198
Construction,South America,Usa,2014,262.0,178.66,0.27,70.85,31.23,10.11,673.75,24140.47,67.68,7.58,-8.22,5.32,0.3888682745825603,0.2651725417439703,13.542428
Mining,Africa,Australia,2015,150.24,679.43,5.52,49.99,3.36,2.01,306.54,4909.9,44.1,72.56,5.5,1.88,0.4901154824818947,2.216448098127487,492.99440799999996
Construction,Africa,Australia,2015,161.8,729.82,30.96,167.98,4.23,5.83,624.86,20608.02,89.27,79.65,7.95,8.37,0.2589380021124732,1.1679736260922446,581.30163
Mining,Africa,Australia,2015,83.07,500.1,23.04,17.0,30.12,11.33,659.19,21673.96,36.47,28.91,-1.56,-1.84,0.12601829518044871,0.7586583534337595,144.57891
Construction,Africa,Australia,2015,5.19,895.62,22.6,44.2,15.33,16.26,1172.67,23788.06,54.28,90.13,2.47,-1.09,0.004425797538949576,0.7637442758832408,807.222306
Manufacturing,Africa,Australia,2015,14.31,530.33,80.29,71.82,13.01,5.8,1127.42,20518.29,37.81,69.79,10.97,8.25,0.01269269659931525,0.4703925777438754,370.1173070000001
Mining,Africa,Australia,2015,170.21,714.6,44.98,81.82,34.75,3.88,435.71,14451.88,37.91,82.15,-8.36,7.82,0.3906497440958436,1.6400817057216956,587.0439000000001
Mining,Africa,Australia,2015,37.96,193.72,56.44,17.91,42.27,11.33,774.72,14586.49,86.15,75.52,5.12,-1.2,0.04899834779016935,0.2500516315572078,146.29734399999998
Energy,Africa,Australia,2015,277.31,475.54,94.27,40.79,30.77,0.53,527.69,15316.29,82.89,6.01,-1.91,-4.29,0.5255168754382308,0.9011730371998711,28.579954
Mining,Africa,Australia,2015,237.73,647.47,27.54,170.87,34.82,12.71,1028.57,6706.45,40.32,78.29,-9.62,-1.39,0.2311267098982082,0.629485596507773,506.90426300000007
Manufacturing,Africa,Australia,2015,109.36,942.23,20.75,187.22,41.49,8.8,1281.8,20983.06,20.3,90.44,12.21,-2.34,0.08531752223435794,0.7350834763613668,852.1528119999999
Construction,Africa,Australia,2015,177.76,876.99,37.69,111.03,24.63,17.05,606.97,6369.72,83.18,79.16,-8.33,-2.64,0.2928645567326227,1.4448654793482378,694.225284
Construction,Africa,Australia,2015,55.9,471.51,77.26,72.45,7.3,3.58,909.58,9811.63,36.67,83.43,3.03,-1.24,0.06145693616834143,0.5183821104245916,393.38079300000004
Energy,Africa,Australia,2015,140.5,218.51,3.53,135.44,9.64,10.67,1441.65,18320.98,24.4,1.7,1.15,2.58,0.09745777407831303,0.15156938230499772,3.71467
Manufacturing,Africa,Australia,2015,36.9,594.17,16.9,150.5,41.67,0.95,555.76,1488.34,49.37,30.24,0.94,5.53,0.06639556643155319,1.0691125665755001,179.677008
Construction,Africa,Australia,2015,194.78,798.56,25.05,71.65,46.13,8.2,388.45,9848.98,92.87,21.93,13.32,6.65,0.5014287553095637,2.0557600720813487,175.124208
Construction,Africa,Australia,2015,134.84,560.06,98.52,121.73,10.95,4.7,1068.87,1735.13,54.47,95.14,4.98,-1.65,0.1261519174455266,0.5239739163789797,532.841084
Energy,Africa,Australia,2015,146.49,554.92,11.2,89.45,40.74,3.43,991.66,4151.72,39.13,61.47,-4.68,2.14,0.14772200149244702,0.5595869552064215,341.10932399999996
Energy,Africa,Brazil,2015,166.15,327.27,70.63,199.36,8.49,9.04,484.08,745.66,95.54,22.71,-4.1,-0.86,0.3432283920013221,0.6760659395141299,74.323017
Mining,Africa,Brazil,2015,177.38,810.88,36.41,128.21,20.93,18.32,239.01,7326.27,74.17,32.28,14.8,0.28,0.7421446801389063,3.3926613949207147,261.752064
Manufacturing,Africa,Brazil,2015,116.2,152.75,38.46,15.44,46.03,19.14,1426.42,12985.64,72.76,27.85,12.66,1.11,0.08146268280029724,0.10708627192551982,42.54087500000001
Mining,Africa,Brazil,2015,34.69,815.35,29.03,68.09,49.99,1.31,893.23,17873.34,79.65,69.75,-3.62,9.23,0.03883658184342218,0.9128108102056581,568.706625
Manufacturing,Africa,Brazil,2015,277.46,550.91,76.37,36.92,20.46,16.18,1293.62,569.04,96.56,82.9,8.42,-4.44,0.21448338770272568,0.4258669470168983,456.70439
Construction,Africa,Brazil,2015,122.53,913.46,44.74,28.13,29.64,12.77,1247.01,8182.68,65.02,85.2,-2.25,2.72,0.09825903561318675,0.7325201882903907,778.26792
Construction,Africa,Brazil,2015,218.64,405.13,98.08,190.73,24.53,15.44,1368.25,23952.17,81.56,61.92,1.81,3.43,0.159795359035264,0.29609355015530786,250.856496
Mining,Africa,Brazil,2015,230.88,841.02,92.79,11.76,10.02,5.01,1280.03,12505.9,28.46,9.61,1.1,1.48,0.18037077256001813,0.6570314758247854,80.822022
Mining,Africa,Brazil,2015,284.65,871.06,79.39,191.73,25.35,19.69,966.27,5472.7,47.42,51.68,10.33,-3.49,0.29458639924658736,0.9014664638248109,450.163808
Manufacturing,Africa,Brazil,2015,292.04,362.14,48.22,137.6,30.23,10.31,27.83,19448.44,56.28,96.41,-1.23,7.92,10.493711821775065,13.012576356449875,349.13917399999997
Construction,Africa,Brazil,2015,220.98,104.84,41.09,130.69,47.34,0.38,493.21,8509.1,32.26,46.28,3.61,0.4,0.44804444354331824,0.21256665517730786,48.519952
Mining,Africa,Brazil,2015,165.01,343.24,64.13,17.89,27.43,9.08,1146.91,7606.2,46.62,49.42,12.53,4.12,0.14387353846422124,0.2992737006391086,169.629208
Construction,Africa,Brazil,2015,162.76,329.57,29.43,155.19,25.4,1.57,883.46,7179.35,39.04,43.58,-0.11,0.41,0.18423018586014078,0.3730446200167523,143.62660599999998
Construction,Africa,Canada,2015,10.97,581.5,71.54,118.2,13.21,13.9,292.27,11781.08,83.47,89.47,5.66,8.51,0.03753378725151402,1.989598658774421,520.26805
Manufacturing,Africa,Canada,2015,297.46,78.15,22.33,132.51,49.76,1.41,220.28,13593.77,46.19,63.28,2.61,-0.28,1.3503722534955511,0.3547757399673144,49.453320000000005
Manufacturing,Africa,Canada,2015,205.49,834.71,20.45,18.59,6.55,17.42,366.63,4873.27,64.87,94.64,-1.1,7.83,0.5604833210593787,2.2767094891307313,789.969544
Construction,Africa,Canada,2015,101.12,567.96,70.61,121.44,37.31,10.29,1012.28,21202.59,72.03,18.91,-7.7,-0.17,0.09989331015134154,0.5610700596672857,107.40123600000001
Manufacturing,Africa,Canada,2015,299.82,893.77,34.81,13.27,27.95,10.45,815.73,18.73,74.36,70.53,-0.17,0.91,0.36754808576367176,1.0956689100560233,630.375981
Energy,Africa,Canada,2015,139.26,885.57,96.61,1.27,19.29,11.58,775.58,2763.28,41.55,25.39,4.72,-1.78,0.17955594522808735,1.1418164470460817,224.84622300000004
Manufacturing,Africa,Canada,2015,102.85,340.07,7.38,100.22,13.88,16.88,1241.32,3832.95,57.56,43.81,-9.98,-2.31,0.08285534753327103,0.2739583668997519,148.984667
Mining,Africa,Canada,2015,189.77,633.32,99.62,85.76,48.04,12.8,485.32,19697.75,39.59,98.35,9.44,-2.39,0.3910203577021347,1.3049534327866152,622.87022
Manufacturing,Africa,Canada,2015,53.18,975.38,20.39,73.98,24.85,7.23,1043.66,20829.11,26.61,46.37,2.39,3.81,0.050955291953318126,0.9345763946112718,452.28370599999994
Manufacturing,Africa,Canada,2015,137.93,679.09,62.43,193.51,48.6,14.15,699.45,21107.5,31.15,47.68,8.48,-2.51,0.19719779827006934,0.9708914146829651,323.790112
Mining,Africa,Canada,2015,186.89,899.39,64.04,120.75,49.16,2.54,737.32,17572.13,41.81,98.04,6.52,1.36,0.25347203385233,1.2198095806434113,881.761956
Construction,Africa,China,2015,70.04,250.58,14.91,53.69,32.64,18.92,1413.82,17175.8,66.34,95.96,14.33,0.87,0.0495395453452349,0.17723614038562194,240.456568
Energy,Africa,China,2015,20.77,756.44,61.07,143.68,42.92,0.13,644.75,13634.68,27.8,28.01,9.11,3.96,0.03221403644823575,1.173229934082978,211.87884400000002
Energy,Africa,China,2015,244.17,101.2,78.42,89.87,20.6,12.37,1290.35,4846.96,78.62,2.98,-8.87,3.22,0.18922772891076065,0.0784283333979153,3.01576
Energy,Africa,China,2015,50.83,717.07,49.85,106.92,35.08,17.39,1032.89,23490.02,27.32,58.82,-5.7,7.41,0.04921143587410082,0.6942365595561967,421.78057400000006
Mining,Africa,China,2015,279.97,144.02,97.62,57.93,31.07,19.27,18.5,21575.59,69.45,39.32,2.09,5.81,15.133513513513515,7.784864864864866,56.62866400000001
Construction,Africa,China,2015,72.41,983.32,24.78,155.84,8.41,10.45,1448.31,15348.47,46.55,39.3,4.8,-1.92,0.04999620247046558,0.6789430439615829,386.44476000000003
Energy,Africa,China,2015,223.23,778.56,79.28,15.47,14.49,2.83,690.95,14585.93,98.04,27.18,-0.68,6.27,0.32307692307692304,1.1267964396844923,211.612608
Manufacturing,Africa,China,2015,153.98,785.74,69.32,127.89,19.55,19.98,294.51,23773.55,23.82,30.94,3.43,-1.7,0.5228345387253404,2.6679569454347902,243.107956
Energy,Africa,China,2015,256.11,66.94,30.5,94.49,10.79,18.5,1291.64,5871.85,90.93,8.98,13.38,-0.33,0.1982828032578737,0.05182558607661577,6.011212
Energy,Africa,China,2015,177.18,81.6,90.33,73.26,8.17,8.05,109.82,1222.86,42.25,83.77,-0.34,3.98,1.613367328355491,0.7430340557275542,68.35632
Mining,Africa,China,2015,6.33,609.95,1.12,45.95,34.28,16.43,1313.38,7220.86,47.16,30.03,2.11,-0.94,0.004819625698579238,0.4644124320455618,183.16798500000002
Energy,Africa,China,2015,133.91,459.78,39.11,187.87,30.37,0.56,80.77,643.5,63.92,16.56,-4.39,-2.66,1.6579175436424416,5.69246007180884,76.139568
Construction,Africa,China,2015,245.7,868.98,33.35,42.17,43.99,14.72,639.24,10594.52,81.92,8.75,13.38,4.86,0.3843626806833114,1.359395532194481,76.03575
Manufacturing,Africa,China,2015,61.99,393.59,65.16,154.62,34.21,14.67,1400.9,8189.91,80.28,23.08,8.97,9.49,0.04425012491969448,0.28095510029266896,90.840572
Construction,Africa,China,2015,227.65,72.71,96.4,65.07,12.61,12.79,523.48,15175.83,95.98,67.13,0.09,-2.61,0.4348781233284939,0.1388973790784748,48.81022299999999
Construction,Africa,China,2015,262.48,537.31,94.96,185.73,43.01,0.63,1392.92,4505.81,71.4,35.83,14.09,-2.54,0.18843867558797348,0.385743617723918,192.518173
Energy,Africa,China,2015,259.99,398.31,16.36,3.56,5.43,0.41,873.55,24360.74,62.61,66.61,-3.26,-4.69,0.29762463510961024,0.4559670310800756,265.314291
Manufacturing,Africa,China,2015,188.29,365.27,82.37,34.22,23.82,15.92,1291.09,10669.54,67.81,45.99,0.42,-0.07,0.14583801284186232,0.28291598571749454,167.987673
Mining,Africa,Germany,2015,221.39,926.88,4.84,171.31,42.43,17.56,151.59,8472.82,23.68,67.42,-3.34,1.58,1.4604525364469951,6.114387492578666,624.902496
Mining,Africa,Germany,2015,252.9,184.06,93.94,94.55,27.36,12.35,241.05,4842.28,32.07,87.47,-9.0,2.72,1.0491599253266957,0.7635760215722879,160.99728199999998
Manufacturing,Africa,Germany,2015,247.27,422.75,98.5,169.58,3.76,9.74,1380.66,11664.07,86.27,80.64,1.02,-0.72,0.17909550504831023,0.3061941390349543,340.9056
Construction,Africa,Germany,2015,135.97,579.94,95.12,90.11,28.64,17.14,1114.44,8997.27,49.19,36.47,-1.89,-3.33,0.12200746563296364,0.5203869207853272,211.504118
Construction,Africa,Germany,2015,34.86,959.53,90.65,25.02,25.19,9.2,1275.51,1013.09,27.06,24.26,2.45,3.08,0.0273302443728391,0.7522716403634624,232.781978
Energy,Africa,Germany,2015,287.41,797.29,41.19,183.04,13.87,11.95,107.44,19387.3,27.37,4.31,3.23,0.35,2.675074460163813,7.4207930007446015,34.363198999999994
Construction,Africa,Germany,2015,247.1,111.4,40.78,153.07,0.38,3.04,1057.18,23100.89,96.06,70.06,9.46,-0.31,0.23373503093134565,0.10537467602489642,78.04684000000002
Construction,Africa,Germany,2015,266.28,123.77,61.57,37.29,10.91,14.57,678.74,19611.19,93.97,60.16,14.31,-1.57,0.3923151722308984,0.182352594513363,74.460032
Energy,Africa,Germany,2015,133.45,705.12,89.83,54.6,16.04,17.16,1042.08,11384.92,84.73,33.76,-2.69,0.05,0.12806118532166436,0.6766467065868264,238.04851199999996
Mining,Africa,Germany,2015,238.26,744.94,66.03,22.2,49.48,18.93,1393.16,24360.66,60.82,23.09,-3.39,-4.41,0.17102127537396994,0.5347124522667892,172.006646
Energy,Africa,Germany,2015,46.79,1.16,26.87,61.3,23.39,0.76,1097.89,16775.97,34.14,43.72,14.05,1.81,0.04261811292570294,0.001056572152037089,0.5071519999999999
Construction,Africa,Germany,2015,144.35,63.94,26.34,140.84,34.08,18.85,1184.56,5409.15,60.05,96.92,-0.07,0.77,0.12185959343553725,0.05397784831498616,61.970648000000004
Construction,Africa,Germany,2015,90.67,751.26,73.54,29.74,41.18,19.31,1199.78,12433.1,25.27,3.36,1.59,-4.8,0.07557218823450966,0.6261647968794279,25.242336
Mining,Africa,India,2015,299.38,129.58,30.65,130.42,1.76,12.41,485.65,14764.08,23.97,93.1,11.09,6.61,0.6164521774940801,0.26681766704416765,120.63898
Energy,Africa,India,2015,24.56,482.58,71.98,88.43,1.13,3.13,1347.45,24116.62,67.8,73.89,-1.27,1.15,0.018227021410813015,0.3581431593009017,356.57836199999997
Energy,Africa,India,2015,276.51,265.69,48.02,1.78,1.29,3.08,1159.66,17247.72,22.72,33.53,5.6,1.77,0.23844057741062033,0.22911025645447802,89.08585699999999
Energy,Africa,India,2015,78.48,142.06,40.95,195.09,48.49,9.23,346.97,24937.99,51.96,48.02,-7.92,5.47,0.22618670202034757,0.40943021010462,68.217212
Energy,Africa,India,2015,229.23,682.24,6.39,59.19,41.61,17.71,75.56,19312.71,56.26,74.17,-2.85,2.25,3.0337480148226574,9.029115934356803,506.017408
Manufacturing,Africa,India,2015,128.64,313.42,94.47,154.7,41.0,9.03,1323.42,5794.04,81.49,86.77,-5.56,-1.46,0.09720270209003942,0.23682579982167415,271.95453399999997
Energy,Africa,India,2015,140.07,226.93,42.86,172.26,11.37,12.95,1146.44,11018.07,80.7,8.25,-3.6,9.89,0.12217822127629879,0.1979431980740379,18.721725000000003
Manufacturing,Africa,India,2015,16.82,825.08,59.8,21.34,15.66,5.66,970.61,6498.76,68.02,42.87,6.84,-3.3,0.017329308373084967,0.850063362215514,353.71179600000005
Energy,Africa,India,2015,256.17,354.16,50.98,160.24,46.55,18.02,758.76,6661.96,67.03,88.51,-8.64,1.43,0.3376166376719912,0.46676155833201544,313.46701600000006
Mining,Africa,India,2015,114.58,549.65,71.45,108.43,30.0,11.75,413.75,13063.11,56.78,63.6,4.82,-4.04,0.2769305135951662,1.3284592145015106,349.57739999999995
Manufacturing,Africa,India,2015,173.08,109.01,14.85,125.63,42.53,4.25,1372.21,9527.79,73.3,54.76,2.58,-0.58,0.12613229753463392,0.07944119340334206,59.693876
Energy,Africa,India,2015,71.65,420.95,92.18,113.9,1.03,1.96,12.42,24236.78,85.62,90.13,12.65,-2.25,5.768921095008052,33.89291465378422,379.402235
Construction,Africa,India,2015,124.79,428.0,90.92,21.73,31.25,1.48,971.83,22721.66,22.4,5.15,5.69,4.29,0.12840723171748145,0.44040624389039235,22.042
Manufacturing,Africa,South Africa,2015,124.88,834.09,33.98,41.25,35.97,11.58,1090.85,9933.71,53.32,92.56,3.46,7.26,0.11447953430810837,0.7646239171288446,772.033704
Mining,Africa,South Africa,2015,98.04,935.8,26.58,155.65,45.15,11.89,45.3,22674.83,49.16,57.43,-8.87,1.46,2.1642384105960266,20.65783664459161,537.42994
Energy,Africa,South Africa,2015,107.61,750.92,72.77,84.32,30.3,19.34,282.4,740.84,68.56,49.92,4.29,-3.54,0.3810552407932012,2.6590651558073657,374.85926399999994
Energy,Africa,South Africa,2015,180.49,212.04,80.24,46.95,0.16,17.5,193.42,21252.5,32.8,57.62,-1.24,-4.93,0.9331506566022129,1.0962671905697445,122.17744799999998
Mining,Africa,South Africa,2015,113.96,802.59,73.26,22.78,44.09,16.02,1206.46,11787.9,41.9,21.22,14.82,7.35,0.09445816686835866,0.6652437710326078,170.309598
Manufacturing,Africa,South Africa,2015,249.22,191.61,89.75,92.82,24.87,1.71,994.7,16124.18,93.12,82.22,6.02,4.92,0.25054790389062026,0.19263094400321706,157.541742
Construction,Africa,South Africa,2015,102.47,954.03,26.14,1.28,7.02,8.4,499.95,19237.8,29.83,3.34,11.36,-2.76,0.20496049604960495,1.9082508250825083,31.864602
Mining,Africa,South Africa,2015,31.53,384.67,80.46,121.8,5.9,17.02,457.93,7119.47,68.77,91.89,-0.63,8.79,0.06885331819273688,0.8400192169108815,353.47326300000003
Energy,Africa,South Africa,2015,28.52,257.67,6.42,117.91,18.52,3.65,501.5,7034.94,22.21,39.77,0.39,0.65,0.05686939182452642,0.5137986041874377,102.47535900000001
Manufacturing,Africa,South Africa,2015,52.3,626.8,42.1,78.95,1.03,19.8,892.69,7476.46,77.4,22.91,9.72,8.61,0.05858696748031231,0.7021474420011425,143.59987999999998
Manufacturing,Africa,South Africa,2015,154.86,56.61,24.06,19.65,4.4,11.01,47.66,14452.09,74.46,4.95,-1.88,4.37,3.2492656315568618,1.187788501888376,2.8021949999999998
Construction,Africa,South Africa,2015,16.02,563.76,60.41,165.72,2.77,10.29,837.48,15298.7,43.87,55.68,1.58,4.3,0.019128815016478003,0.6731623441753832,313.901568
Manufacturing,Africa,South Africa,2015,91.62,930.26,49.89,181.17,34.36,6.58,593.12,9825.04,31.27,51.29,-1.82,2.21,0.15447127056919344,1.5684178581062853,477.130354
Construction,Africa,South Africa,2015,8.72,68.85,52.7,178.17,3.82,6.67,502.62,3317.98,79.43,31.93,-5.75,7.97,0.017349090764394573,0.13698221320281723,21.983804999999997
Construction,Africa,South Africa,2015,221.74,72.37,29.66,143.94,13.06,19.25,790.34,18899.44,59.78,20.96,12.23,7.15,0.28056279575878734,0.09156818584406712,15.168752000000001
